Player,Pos,Squad,Comp,npxG,-9999
Nico Elvedi,DF,M'Gladbach,de Bundesliga,1.5,48035304
Emerson,DF,Tottenham,eng Premier League,1.5,df8b52a5
Sergio Escudero,DFMF,Granada,es La Liga,1.5,b0616e3d
Fred,MF,Manchester Utd,eng Premier League,1.5,b853e0ad
Remo Freuler,MF,Atalanta,it Serie A,1.5,98d2c2c4
Hamadi Al Ghaddioui,FW,Stuttgart,de Bundesliga,1.5,5723931e
Robin Gosens,DF,Atalanta,it Serie A,1.5,2d970560
Adrian Grbić,FWMF,Lorient,fr Ligue 1,1.5,4a987ffa
Jordan Henderson,MF,Liverpool,eng Premier League,1.5,935e6b8f
Dalbert Henrique,DFMF,Cagliari,it Serie A,1.5,f45f9427
Martin Hongla,MF,Hellas Verona,it Serie A,1.5,b85bf253
Grigoris Kastanos,MFFW,Salernitana,it Serie A,1.5,2a82aa85
Ezri Konsa,DF,Aston Villa,eng Premier League,1.5,0313a347
Dimitri Liénard,DFMF,Strasbourg,fr Ligue 1,1.5,f7691f63
Pol Lirola,DFMF,Marseille,fr Ligue 1,1.5,ff800ed8
Julen Lobete,FWMF,Real Sociedad,es La Liga,1.5,a952a529
Solly March,DFFW,Brighton,eng Premier League,1.5,bb5fbd2b
Jaime Mata,FW,Getafe,es La Liga,1.5,02319ad7
John McGinn,MF,Aston Villa,eng Premier League,1.5,90f91999
Scott McTominay,MF,Manchester Utd,eng Premier League,1.5,d93c2511
Houboulang Mendes,DF,Lorient,fr Ligue 1,1.5,1545cf15
Pedro Neto,FWMF,Wolves,eng Premier League,1.5,7ba2eaa9
Brian Oliván,DF,Mallorca,es La Liga,1.5,a3e4bf46
Ayoze Pérez,MFFW,Leicester City,eng Premier League,1.5,819aa8e7
Ethan Pinnock,DF,Brentford,eng Premier League,1.5,e541326e
Sanjin Prcić,MF,Strasbourg,fr Ligue 1,1.5,51c30111
David Raum,DF,Hoffenheim,de Bundesliga,1.5,7d450ed3
Gio Reyna,MF,Dortmund,de Bundesliga,1.5,7fa4e703
William Saliba,DF,Marseille,fr Ligue 1,1.5,972aeb2a
Salva Sevilla,MF,Mallorca,es La Liga,1.5,75bd85ea
Nuno Tavares,DF,Arsenal,eng Premier League,1.5,a65c844b
Arthur Theate,DF,Bologna,it Serie A,1.5,df8d6029
Lucas Torró,MF,Osasuna,es La Liga,1.5,0e4fef6e
Andros Townsend,MF,Everton,eng Premier League,1.5,b28bbd58
Myrto Uzuni,MFFW,Granada,es La Liga,1.5,01da7812
Mërgim Vojvoda,DF,Torino,it Serie A,1.5,be2706c0
Denis Zakaria,MF,Juventus,it Serie A,1.5,384d58d9
Marcos Acuña,DF,Sevilla,es La Liga,1.4,81442ecb
Angeliño,DF,RB Leipzig,de Bundesliga,1.4,30941e96
Janis Antiste,FW,Spezia,it Serie A,1.4,38d9ce53
Adil Aouchiche,MFFW,Saint-Étienne,fr Ligue 1,1.4,b94b8be1
Ronald Araújo,DF,Barcelona,es La Liga,1.4,2bef2bca
Marc Bartra,DF,Betis,es La Liga,1.4,b742cc0d
Timo Baumgartl,DF,Union Berlin,de Bundesliga,1.4,bd7d2e6d
Federico Bernardeschi,MFFW,Juventus,it Serie A,1.4,ee93c1a9
Sven Botman,DF,Lille,fr Ligue 1,1.4,ccce7025
Josh Brownhill,MF,Burnley,eng Premier League,1.4,47369df8
Zeki Çelik,DF,Lille,fr Ligue 1,1.4,31a62dc7
Omar Colley,DF,Sampdoria,it Serie A,1.4,8b95acda
Nicolas Cozza,DF,Montpellier,fr Ligue 1,1.4,8f325097
